kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,gaia_source_id,gaia_ra,gaia_dec,gaia_parallax,gaia_parallax_error,gaia_pmra,gaia_pmdec,gaia_phot_g_mean_mag,gaia_phot_bp_mean_mag,gaia_phot_rp_mean_mag,gaia_teff_gspphot,gaia_logg_gspphot,gaia_radius_gspphot,gaia_separation_arcsec
11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.651209505,5.862e-06,-5.862e-06,179.401981,0.000249,-0.000249,0.723,0.01,-0.02,5.2514,0.0179,-0.0179,11766.0,27.7,-27.7,12.42,3.92,-1.69,730.0,,,67.03,62.46,-23.51,513.4,1.0,q1_q17_dr25_tce,6074.0,168.0,-210.0,4.391,0.09,-0.21,1.063,0.336,-0.144,291.0939,48.933842,15.536,,,,,,,,,,,,,,
9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.412203927,3.052e-06,-3.052e-06,133.143089,0.000468,-0.000468,0.787,0.005,-0.565,2.9472,0.024,-0.024,601.6,4.0,-4.0,2.94,0.43,-0.38,1093.0,,,337.68,137.29,-102.18,166.7,1.0,q1_q17_dr25_tce,5779.0,104.0,-115.0,4.339,0.132,-0.108,1.087,0.157,-0.142,287.88733,46.276241,12.791,,,,,,,,,,,,,,
11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,41.43958662,7.557e-05,-7.557e-05,208.93203,0.00142,-0.00142,0.355,0.04,-0.355,10.5989,0.088,-0.088,2793.1,22.6,-22.6,5.5,1.57,-0.96,516.0,,,16.72,14.66,-6.64,141.1,1.0,q1_q17_dr25_tce,5468.0,180.0,-164.0,4.367,0.153,-0.187,1.046,0.297,-0.183,295.55505,49.017342,15.4,,,,,,,,,,,,,,
11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.35389523,1.524e-05,-1.524e-05,171.63257,0.00133,-0.00133,0.023,0.423,-0.023,2.2514,0.0518,-0.0518,1041.6,28.2,-28.2,2.52,0.54,-0.24,790.0,,,91.9,59.06,-24.15,43.4,1.0,q1_q17_dr25_tce,5592.0,152.0,-152.0,4.582,0.036,-0.144,0.787,0.169,-0.073,285.49924,49.277351,15.317,,,,,,,,,,,,,,
11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.125543472,3.133e-06,-3.133e-06,169.752585,0.000613,-0.000613,0.597,0.235,-0.367,3.1744,0.0362,-0.0362,1487.3,13.3,-13.3,4.43,1.44,-0.51,1243.0,,,565.35,542.47,-188.14,128.6,1.0,q1_q17_dr25_tce,6174.0,173.0,-239.0,4.417,0.056,-0.21,1.103,0.358,-0.128,291.93616,49.253979,15.506,,,,,,,,,,,,,,
11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.816504904,1.65e-07,-1.65e-07,170.9676846,4.66e-05,-4.66e-05,0.105,0.264,-0.119,2.50587,0.00666,-0.00666,16814.0,11.0,-11.0,12.21,1.62,-0.87,1219.0,,,521.13,184.34,-97.95,1406.8,1.0,q1_q17_dr25_tce,5532.0,74.0,-83.0,4.452,0.063,-0.108,0.955,0.127,-0.068,297.01547,49.225288,15.052,,,,,,,,,,,,,,
11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,33.93373447,6.154e-05,-6.154e-05,186.67608,0.00137,-0.00137,0.812,0.006,-0.009,14.561,0.104,-0.104,8503.7,44.3,-44.3,7.34,0.9,-0.6,430.0,,,8.11,3.25,-2.06,236.1,1.0,q1_q17_dr25_tce,5040.0,136.0,-151.0,4.628,0.03,-0.07,0.705,0.086,-0.058,284.17233,49.360722,15.716,,,,,,,,,,,,,,
12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.689920099,8.982e-06,-8.982e-06,170.36571,0.00191,-0.00191,0.151,0.304,-0.151,2.6557,0.0677,-0.0677,426.7,13.8,-13.8,1.89,0.54,-0.2,1147.0,,,408.99,342.24,-123.32,35.6,1.0,q1_q17_dr25_tce,5880.0,157.0,-192.0,4.518,0.046,-0.196,0.917,0.262,-0.098,291.62241,50.61824,15.242,,,,,,,,,,,,,,
12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.431238488,6.106e-06,-6.106e-06,171.015,0.00111,-0.00111,0.405,0.041,-0.405,3.15,0.0423,-0.0423,1010.9,15.2,-15.2,3.25,0.47,-0.25,1104.0,,,351.23,135.26,-68.33,71.1,1.0,q1_q17_dr25_tce,5714.0,77.0,-77.0,4.428,0.063,-0.117,1.015,0.148,-0.079,295.81616,51.121738,15.367,,,,,,,,,,,,,,
12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.37936986,2.415e-05,-2.415e-05,133.84992,0.00183,-0.00183,0.911,0.009,-0.656,2.6255,0.073,-0.073,1023.5,29.7,-29.7,3.95,0.57,-0.31,806.0,,,99.68,38.38,-19.39,37.9,2.0,q1_q17_dr25_tce,5714.0,77.0,-77.0,4.428,0.063,-0.117,1.015,0.148,-0.079,295.81616,51.121738,15.367,,,,,,,,,,,,,,
