transit_depth_ppm,transit_duration_hrs,orbital_period_days,impact_parameter,transit_snr,log_period,log_depth,duration_period_ratio,transit_shape_factor,stellar_teff_K,stellar_radius_rsun,stellar_logg,stellar_teff_normalized,stellar_density_proxy,stellar_luminosity_proxy,planet_radius_rearth,planet_teq_K,insolation_flux_earth,log_planet_radius,log_insolation,is_rocky_size,is_super_earth_size,is_mini_neptune_size,is_gas_giant_size,is_hot,is_warm,is_temperate,is_cold,semi_major_axis_au,orbital_velocity_kms,density_proxy,in_habitable_zone,hz_distance_normalized,transit_probability,radius_ratio,expected_transit_depth_ppm,depth_anomaly,period_uncertainty,radius_uncertainty,depth_uncertainty,measurement_quality,fp_flag_not_transit_like,fp_flag_stellar_eclipse,fp_flag_centroid_offset,fp_flag_ephemeris_match,total_fp_flags,target,disposition,kepid,koi_name
102.7,3.408,6.07855,0.3408,10.4,0.7837999934007773,2.0115704435972783,0.023360834409522007,1.1614464,6119.0,1.114,4.346,1.0590169608861197,17874.323686782383,1.5609250288784566,1.14,1115.0,365.15,0.05690485133647256,2.562471304977469,1,0,0,0,1,0,0,0,0.06517233878271404,116.6436315612136,0.6749715162020165,0,0.9551674787451139,0.0794831073543419,0.009371239173752637,87.82012365167601,0.16943583918581756,1.7635784850005346e-05,0.4385964912280702,0.11879259980525803,0.6420930273256399,0,0,0,0,0,0,CANDIDATE,8328916,K04790.01
296.3,1.938,3.60082855,0.395,17.9,0.5564024433480806,2.471731651480051,0.02242539428876723,0.76551,4838.0,0.796,4.524,0.8373139494634821,52744.097375399964,0.3114436220619078,1.36,927.0,174.45,0.13353890837021754,2.24167097378413,1,0,0,0,0,1,0,0,0.04211953077094491,127.25615597747739,0.39754223488703433,0,0.9351343637399796,0.08787847186923832,0.015645995545493032,244.79717660958778,0.21038977697259545,4.790564105030771e-06,0.029411764705882353,0.06581167735403307,0.9130517002872851,0,0,0,0,0,1,CONFIRMED,11125613,K02485.02
197.4,2.713,9.4907638,0.3638,7.3,0.9773011650908369,2.295347148333618,0.011910702768376415,0.9869894,5290.0,0.746,4.604,0.9155417099342333,72197.53086145592,0.39101209645428026,1.05,704.0,58.01,0.021189299069938092,1.763502865467597,1,0,0,0,0,1,0,0,0.08184016795376708,93.81300907532797,0.863837598531476,0,0.8875156004695361,0.042386276650356346,0.012889255516601361,166.13290777223864,0.1882052908543999,1.0578706004673723e-05,0.24761904761904763,0.12056737588652482,0.730888898589591,0,0,0,0,0,0,CANDIDATE,11030475,K02248.02
643.0,1.938,222.068928,0.1522,6.7,2.3464877960893595,2.808210972924222,0.0003636258378299552,0.2949636,5221.0,12.042,2.766,0.9035998615437868,4.023488406434099,96.67225931503536,29.97,782.0,88.22,1.4766867429456447,1.9455670534423886,0,0,0,1,0,1,0,0,1.0432717867712176,51.11017714770386,3.714837074129708e-05,0,0.908805760181558,0.05367278278778892,0.022791110235056422,519.4347057464936,0.23788417078509877,1.4972828616527567e-05,0.03470136803470137,0.26127527216174184,0.7716099316922536,1,0,0,0,1,0,FALSE POSITIVE,5024476,K05116.01
284.2,9.554,406.45737,0.428,12.7,2.609015002710851,2.4536240735914507,0.0009793975031953126,4.089112,6217.0,1.141,4.364,1.0759778470058843,17759.41725991541,1.7449565135331728,1.96,278.0,1.42,0.292256071356476,0.15228834438305647,0,1,0,0,0,0,1,0,1.1061319792630613,29.606676955665037,0.13281030862990761,0,0.2803264804863686,0.004796579521672255,0.015730690577316343,247.4546260392692,0.1484933805800001,3.847882005436388e-05,0.33673469387755106,0.09113300492610837,0.7003261248327782,1,0,0,0,1,0,FALSE POSITIVE,6113752,K07763.01
38.4,5.54,73.26417,0.4719,3.0,1.864891633908784,1.5843312243675307,0.00315069881134712,2.614326,5424.0,2.11,3.832,0.9387331256490135,1525.5803612164693,3.4572714833820277,1.32,584.0,27.47,0.12057393120584989,1.438858659420562,1,0,0,0,0,1,0,0,0.3534998575025092,52.49226692511809,0.4347886579291538,0,0.8366032628480888,0.027755315290135175,0.005728868288109994,32.819931862512334,0.17002071061157029,0.00017198038277100528,0.05303030303030303,0.5078125,0.640608923519324,1,0,0,0,1,0,FALSE POSITIVE,4577484,K03181.01
61.1,3.835,0.566805859,0.724,21.5,-0.24656566915460862,1.7860412102425542,0.2819160460842496,2.77654,6413.0,1.494,4.203,1.1098996192454136,7149.880858717035,3.387162282090188,1.25,2858.0,15850.69,0.09691001300805642,4.200048172337371,1,0,0,0,1,0,0,0,0.014603707836307541,280.30221159561387,0.512,0,0.9931802883486105,0.4757079556691906,0.007661905252266698,58.70479209471201,0.04080089239433222,6.53662967869921e-06,0.33599999999999997,0.062193126022913256,0.7152054364702477,1,0,1,1,3,0,FALSE POSITIVE,7115671,K05355.01
239.5,1.875,173.219879,0.5113,5.7,2.238597730894946,2.379305517750582,0.000451016364005196,0.9586874999999999,6007.0,1.518,4.158,1.0396330910349603,6243.907446417459,2.6919309819359434,2.41,405.0,6.39,0.3820170425748684,0.8055008581584001,0,0,1,0,0,1,0,0,0.6469233873662199,40.63056302002165,0.07144122162774393,0,0.6611232523691006,0.010911183824622044,0.014538601495123234,211.37093343399954,0.13307916140127066,1.652235307242075e-05,0.5062240663900415,0.23382045929018788,0.5746924805484536,0,0,0,0,0,0,CANDIDATE,8890417,K05580.01
252.9,5.908,9.97716876,0.002,21.8,0.9990073182057828,2.4029488293444046,0.024672998180965588,0.011816,5557.0,1.616,4.037,0.9617514710972654,4169.819799121383,2.2342622614488565,2.53,1028.0,263.89,0.40312052117581787,2.4214229331260557,0,0,1,0,1,0,0,0,0.09167247710568269,99.96071822292006,0.06175020965739936,0,0.9472900298167889,0.08197007692218441,0.014336941935951834,205.54790407485433,0.2303701229077066,8.033341113897326e-06,0.158102766798419,0.0502174772637406,0.8275896697121282,0,0,0,0,0,1,CONFIRMED,4860678,K01602.01
781.8,2.311,6.69332825,0.952,23.4,0.8256421239229725,2.893095666096228,0.0143862161050695,2.200072,4245.0,0.637,4.641,0.7346832814122534,107825.41425250625,0.11821687993673266,2.44,609.0,32.54,0.3873898263387294,1.51241754860084,0,0,1,0,0,1,0,0,0.060042793238784614,97.59250896779365,0.06883836092007702,0,0.8499133651825606,0.049332315174282486,0.035077429111966,1230.4260331049998,0.3646103227943616,3.138946607018713e-06,0.04098360655737705,0.049245331286774115,0.9172358998495364,0,0,0,0,0,0,CANDIDATE,8261920,K02174.01
1462.5,2.013,11.00817635,0.025,42.1,1.0417153783058997,3.165095874754218,0.007619336512536884,0.050325,4141.0,0.582,4.684,0.7166839736933195,142611.33018025674,0.08936279449150446,2.15,488.0,13.39,0.33243845991560533,1.126780577012009,0,0,1,0,0,1,0,0,0.0814139373969449,80.46019856207035,0.10062007118870038,0,0.7659324188821465,0.03324123714598227,0.033829286406606,1144.4206187801774,0.27793922619015654,1.545215070977674e-06,0.04651162790697675,0.02735042735042735,0.9312169623404901,0,0,0,0,0,1,CONFIRMED,10604335,K01298.01
305.7,1.023,4.74254518,0.051,13.2,0.6760114768999157,2.4852954387260886,0.00898778996977315,0.05217299999999999,6046.0,1.007,4.478,1.0463828314295605,29644.290390584967,1.2156858519433773,1.77,1118.0,369.34,0.24797326636180664,2.567426344852574,0,1,0,0,1,0,0,0,0.05714354098197139,131.08511852121467,0.18033507338645643,0,0.9554572171797567,0.08194364436528931,0.0160961183801303,259.0850269071684,0.17992152479554127,3.6035502776169657e-06,0.2824858757062147,0.1105659142950605,0.7178465440993915,0,0,0,1,1,0,FALSE POSITIVE,6507427,K02455.01
584.4,3.271,21.9139549,1.2,11.8,1.3407207635144633,2.766710207262259,0.006219400710123149,3.9252,3638.0,0.42,4.844,0.6296296296296297,395823.35832039226,0.027722935189418957,10.39,303.0,2.01,1.0166155475571774,0.30319605742048883,0,0,0,1,0,1,0,0,0.11719791519806863,58.18309803418882,0.0008915657107212038,0,0.39504766102531524,0.01666411895381723,0.22653933368219084,51320.06970517101,0.9886126421231046,9.678764101134478e-06,0.10972088546679498,0.10951403148528406,0.820179973332261,0,0,0,0,0,0,CANDIDATE,5531953,K01681.04
513.5,15.37,364.14397,0.475,9.3,2.5612731227005363,2.710540447933297,0.001758690846004306,7.300749999999999,6039.0,0.951,4.493,1.0451713395638629,34406.378775631834,1.0792225278249903,2.2,259.0,1.06,0.3424226808222063,0.02530586526477026,0,0,1,0,0,0,1,0,1.0051763842978583,30.03079804540979,0.09391435011269719,1,0.16841307102990125,0.004399377133286897,0.02118456377131456,448.7857421808934,0.14419856010715693,5.14631616720167e-05,0.3363636363636363,0.17370983446932814,0.6621968669537588,0,0,1,0,1,0,FALSE POSITIVE,7882360,K07853.01
195.2,10.535,506.771836,0.1643,15.0,2.7048124708332155,2.290479813330673,0.00086618533657686,1.7309005,6035.0,1.283,4.177,1.0444790584977501,9131.59595921011,1.9590804035673817,1.8,275.0,1.35,0.25527250510330607,0.13033376849500614,0,1,0,0,0,0,1,0,1.2003261521293707,25.76822577283411,0.17146776406035663,0,0.262954978497567,0.004970274112095653,0.01284763560679383,165.06174068495665,0.1825877952696889,1.954725834448306e-05,0.35555555555555557,0.08913934426229508,0.6921783069476424,0,0,0,0,0,0,FALSE POSITIVE,6767337,K05326.01
92.3,1.125,1.381257093,0.351,11.0,0.14027452121405531,1.965201701025912,0.03393647731298926,0.394875,5861.0,1.131,4.385,1.0143648321218415,18970.32582358604,1.3542596700743772,1.1,1728.0,2110.47,0.04139268515822508,3.3243791831063674,1,0,0,0,1,0,0,0,0.02525987910609579,198.954820362508,0.7513148009015775,0,0.9813447456854438,0.2082017090386963,0.008906507580247634,79.32587727700857,0.16355473356676992,4.419886805243721e-06,0.3,0.11700975081256773,0.7057092446058221,1,0,0,0,1,0,FALSE POSITIVE,5009688,K07713.01
334.3,2.272,5.79529495,0.714,14.8,0.7630755441646186,2.5241363765925686,0.01633509035923472,1.6222079999999999,3757.0,0.539,4.718,0.6502249913464867,179813.5725125274,0.051931654680820324,1.05,534.0,19.23,0.021189299069938092,1.2839792842384798,1,0,0,0,0,1,0,0,0.05176656997654219,97.17880741613783,0.863837598531476,0,0.8047665681854399,0.048416381482020966,0.01783930355358927,318.24075127710273,0.050462577964799867,6.251623137835288e-06,0.05714285714285714,0.07777445408315883,0.881116607967468,0,0,0,0,0,1,CONFIRMED,6382217,K02036.02
31.0,3.4844,1.332567821,0.413,5.0,0.12468932166596969,1.4913616938342726,0.10895005195636742,1.4390572,6600.0,1.681,4.047,1.142263759086189,3943.3431687666766,4.810619628939502,0.96,2395.0,7802.17,-0.017728766960431602,3.892215408838831,1,0,0,0,1,0,0,0,0.02478056516419643,202.31105030309328,1.1302806712962965,0,0.9902897239533358,0.3154346944150284,0.005229749429630452,27.350279096720044,0.1334436438609376,,0.20833333333333334,,,0,0,1,1,2,0,FALSE POSITIVE,9899193,K07244.01
70.8,2.663,8.31224474,1.111,12.2,0.9197183218045026,1.850033257689769,0.0133487808412789,2.9585929999999996,5421.0,0.816,4.483,0.9382139148494288,45668.80865647043,0.5159264537768131,10.63,801.0,97.64,1.0265332645232967,1.989627770745151,0,0,0,1,0,1,0,0,0.07247899631657896,94.86184524028748,0.000832530602470003,0,0.9132760298702953,0.05235171832990825,0.11929451267686564,14231.180754810855,0.9950250087311929,6.761109875597815e-06,0.18626528692380054,0.10734463276836158,0.7730265192468015,0,0,0,0,0,0,CANDIDATE,7833305,K04528.01
118.4,2.1033,9.37663713,0.828,21.0,0.9720471094080464,2.073351702386901,0.0093463678699487,1.7415323999999999,6237.0,1.543,4.136,1.0794392523364487,5744.7105028326005,3.232396875514087,1.89,1125.0,379.3,0.2764618041732441,2.5789828427027905,0,1,0,0,1,0,0,0,0.09201992477725489,106.76587997517811,0.14812030153146025,0,0.9560113723027418,0.07797170033954945,0.011216910115160277,125.81907253158495,0.058966199498271615,3.4042055331195265e-06,0.052910052910052914,0.052364864864864864,0.9047494917010478,0,0,0,0,0,1,CONFIRMED,11807274,K00262.02
298.8,3.503,22.7082375,0.032,22.0,1.3561834277587683,2.475380593143361,0.006427550061220442,0.112096,6170.0,0.992,4.472,1.0678435444790586,30128.440726663564,1.2795399510673569,1.72,677.0,49.67,0.2355284469075489,1.6960941599952233,0,1,0,0,0,1,0,0,0.15998155614635265,76.64506705694659,0.19652357654043043,0,0.8784475069969725,0.02883332373501959,0.01587793926503604,252.10895530417318,0.18520184909533816,4.487358387017046e-06,0.313953488372093,0.05287817938420348,0.7316165849564431,0,0,0,0,0,1,CONFIRMED,8959839,K02253.01
101.1,3.814,0.56679293,0.18,22.1,-0.24657557564606095,2.004751155591001,0.2803787031476675,0.68652,5812.0,0.853,4.551,1.005884389061959,48876.70693586603,0.7448868969331445,0.86,2064.0,4264.42,-0.06550154875643228,3.6298599715109394,1,0,0,0,1,0,0,0,0.01312770535455698,251.97770475629468,1.5721886123234434,0,0.9869273229609162,0.3021434358003121,0.00923265870510888,85.24198676502279,0.18603523729088164,5.6793227819549555e-06,0.27906976744186046,0.06726013847675569,0.742756866090485,1,0,1,1,3,0,FALSE POSITIVE,7031992,K06808.01
48.3,22.49,2.66811113,0.9911,32.5,0.42620391450262657,1.6839471307515121,0.3512160055092357,22.289838999999997,6593.0,1.561,4.164,1.1410522672204915,5986.7923339411755,4.13074094072209,1.53,1792.0,2439.28,0.1846914308175988,3.387261654957198,0,1,0,0,1,0,0,0,0.040989982097692466,167.13658857787235,0.27920661764356874,0,0.9826665653296842,0.1770835123250426,0.008975649590639982,80.56228557395566,0.4004638813820531,2.5306292245780633e-05,0.5751633986928104,0.07453416149068323,0.60616241692538,1,0,0,0,1,0,FALSE POSITIVE,9164788,K07140.01
950.1,5.03,103.4269873,0.013,17.8,2.0146338744080823,2.9777693180915743,0.0020263892317139297,0.06539,6208.0,1.024,4.454,1.0744202146071304,27126.895021895543,1.3973223199188811,3.16,416.0,7.08,0.49968708261840383,0.850033257689769,0,0,1,0,0,1,0,0,0.4428218795577107,46.579295532807585,0.03169120495538892,0,0.6780401979647975,0.010752856215586892,0.028259500915750916,798.5993920073269,0.18970789297981736,8.38852627006762e-06,0.30696202531645567,0.06588780128407536,0.7284073395063869,0,0,0,0,0,1,CONFIRMED,6606438,K02860.01
363.3,2.5984,3.94105221,0.226,28.9,0.5956121883202355,2.5602653978627146,0.027471512910169405,0.5872383999999999,5185.0,0.91,4.44,0.8973693319487712,33259.61482113475,0.5369918291134346,1.7,1018.0,253.15,0.2304489213782739,2.4033779317228596,0,1,0,0,1,0,0,0,0.045853825160626645,126.57883720299047,0.20354162426216163,0,0.946221013824596,0.09228237742820782,0.01710743468985227,292.66432166756084,0.24135390993328754,2.775908416600246e-06,0.06470588235294118,0.03826039086154693,0.9066437546866913,0,0,0,0,0,1,CONFIRMED,10601284,K00749.02
205.2,1.169,0.474811162,0.44,17.4,-0.3234790800754346,2.3121773564397787,0.10258464255171265,0.51436,5799.0,0.878,4.539,1.0036344755970925,44875.672322440434,0.782152282067803,1.28,2206.0,5603.32,0.10720996964786837,3.748445425299229,1,0,0,0,1,0,0,0,0.011783748753508107,269.9978299555674,0.47683715820312494,0,0.9885485971082217,0.34646869051621204,0.013350355036004239,178.23197958736375,0.15130853887765608,3.889967523552027e-06,0.3046875,0.07553606237816765,0.7245182656673752,0,0,1,0,1,0,FALSE POSITIVE,5389632,K07726.01
872.9,15.631,563.94854,0.0504,16.3,2.751239476654148,2.9409644934927996,0.001154877830992641,0.7878024,5853.0,0.868,4.544,1.0129802699896158,46447.308159596316,0.7933108548701696,2.55,209.0,0.45,0.4065401804339551,-0.3467874862246563,0,0,1,0,0,0,1,0,1.3165761539622065,25.398275371947726,0.06030862941101085,0,0.27041369058624826,0.0030656791009415945,0.026902820681622523,723.7617606275367,0.20605984936694252,3.229018023523919e-05,0.4313725490196079,0.07675564211249856,0.663059410713268,1,0,0,0,1,0,FALSE POSITIVE,3123418,K07542.01
4850.0,12.0355,114.73658,0.595,230.6,2.0597019005467345,3.6857417386022635,0.004370699969152529,7.1611225,5597.0,1.699,3.963,0.9686742817583939,3181.363120443667,2.5415451855662115,12.28,476.0,12.13,1.0891983668051488,1.083860800866573,0,0,0,1,0,1,0,0,0.4562505173021627,43.26126243664598,0.0005400138513120852,0,0.7540338569729836,0.01731581598354179,0.06618847113255588,4380.913710865183,0.1070749893958029,1.3082139976631689e-06,0.08631921824104236,0.0045773195876288655,0.9166761155754326,0,0,0,0,0,1,CONFIRMED,10028792,K01574.01
